UNITID,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,LOCALE
120078,1170700,11707,North-West College-West Covina,West Covina,CA,www.north-westcollege.edu,www.north-westcollege.edu/ecamp/npc-nwc/npcalc.htm,21
120087,2591600,25916,North-West College-Pasadena,Pasadena,CA,www.north-westcollege.edu,www.north-westcollege.edu/ecamp/npc-nwc/npcalc.htm,12
120184,117900,1179,Notre Dame de Namur University,Belmont,CA,www.ndnu.edu,www.ndnu.edu/admissions/financial-aid/day-undergraduate/calculator-freshmen.aspx,21
120254,124900,1249,Occidental College,Los Angeles,CA,www.oxy.edu,www.oxy.edu/admission-aid/financial-aid/net-price-calculator,11
120272,1298900,12989,Oceanside College of Beauty,Oceanside,CA,ocb.edu/,ocb.edu/net-price-calculator/,21
120290,448100,4481,Ohlone College,Fremont,CA,www.ohlone.edu,webprod.cccco.edu/npc/431/npcalc.htm,21
120342,125000,1250,Orange Coast College,Costa Mesa,CA,www.orangecoastcollege.edu/,www.orangecoastcollege.edu/student_services/financial_aid/Pages/Net-Price-Calculator.aspx,12
120403,125100,1251,Otis College of Art and Design,Los Angeles,CA,www.otis.edu,www.otis.edu/life_otis/student_life/financial_aid/net_price_calculator.html,11
120421,1284200,12842,Oxnard College,Oxnard,CA,www.oxnardcollege.edu,www.oxnardcollege.edu/departments/student_services/financial_aid/index.shtml,12
120537,125200,1252,Hope International University,Fullerton,CA,www.hiu.edu,www.hiu.edu/undergrad/tuition/,21
120661,793000,7930,Concorde Career College-San Diego,San Diego,CA,www.concorde.edu,www.concorde.edu,11
120698,2138300,21383,Palo Alto University,Palo Alto,CA,www.paloaltou.edu,NULL,41
120740,125400,1254,Pacific Lutheran Theological Seminary,Berkeley,CA,www.plts.edu,www.plts.edu,12
120768,125500,1255,Pacific Oaks College,Pasadena,CA,www.pacificoaks.edu,www.pacificoaks.edu/Admissions/Costs_Financial_Aid/Tuition_and_Fees,12
120795,125600,1256,Pacific School of Religion,Berkeley,CA,www.psr.edu,www.psr.edu/tuition-and-fees,12
120838,3163300,31633,Pacific States University,Los Angeles,CA,www.psuca.edu,www.psuca.edu/node/100,11
120865,125800,1258,Pacific Union College,Angwin,CA,www.puc.edu,www.puc.edu/campus-services/student-finance/net-price-calculator,41
120883,132900,1329,University of the Pacific,Stockton,CA,www.pacific.edu,npc.collegeboard.org/student/app/pacific,11
120953,125900,1259,Palo Verde College,Blythe,CA,www.paloverde.edu,webprod.cccco.edu/npc/951/npcalc.htm,42
120971,126000,1260,Palomar College,San Marcos,CA,WWW.PALOMAR.EDU,www.palomar.edu/fa/,21
121017,2059800,20598,Paris Beauty College,Concord,CA,www.Parisbeautycollege.com,www.Parisbeautycollege.com,21
121044,126100,1261,Pasadena City College,Pasadena,CA,www.pasadena.edu,www.pasadena.edu/studentservices/financialAid/,12
121150,1014900,10149,Pepperdine University,Malibu,CA,www.pepperdine.edu/,seaver.pepperdine.edu/financialassistance/,21
121257,117200,1172,Pitzer College,Claremont,CA,www.pitzer.edu,npc.collegeboard.org/student/app/pitzer,21
121275,2304300,23043,Platt College-San Diego,San Diego,CA,www.platt.edu,www.platt.edu,11
121309,126200,1262,Point Loma Nazarene University,San Diego,CA,www.pointloma.edu,www.pointloma.edu/NPC,11
121345,117300,1173,Pomona College,Claremont,CA,www.pomona.edu,npc.collegeboard.org/student/app/pomona,21
